"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHTF8",0.00159161614273831,0.254467206404644,0.181,0.096,1
"BORCS6",0.00159203265564048,0.734358782053339,0.105,0.046,1
"GTF2F2",0.00159292280062543,0.356751063536891,0.152,0.076,1
"SIRT5",0.00160349427725107,0.439480230790618,0.123,0.057,1
"C10orf128",0.00160989685195336,0.531873439082195,0.17,0.089,1
"CEBPZOS",0.00162654409843787,0.326843173635994,0.222,0.125,1
"EIF2D",0.00164118524309033,0.484967292395599,0.111,0.05,1
"FLYWCH1",0.00165185509062456,0.826878225897861,0.111,0.05,1
"CRELD2",0.00165429580704013,0.411371388986192,0.287,0.175,1
"ARSD",0.00168671303401183,0.411162487450984,0.117,0.053,1
"CKAP5",0.00168835634952624,0.722122606058759,0.111,0.05,1
"CCL4",0.00169852118773227,-0.315984141382202,0.573,0.588,1
"LGALS1",0.00170927483688153,0.464210004414891,0.468,0.329,1
"PLA2G12A",0.00172369202050297,0.589512600355645,0.158,0.081,1
"IRF1",0.00172577853673126,-0.742497841918199,0.515,0.563,1
"SMIM10L1",0.00173609957830769,0.56554121530323,0.146,0.074,1
"C5AR2",0.0017361552202988,-1.69573656235827,0.123,0.216,1
"NNMT",0.00177272250061031,-1.57259307542497,0.111,0.203,1
"RPS27L",0.00181282119789947,-0.428368744403454,0.86,0.805,1
"IFITM1",0.00182219951318898,-0.814145499382168,0.579,0.591,1
"TP53RK",0.00182444375780282,0.550102965209717,0.146,0.074,1
"SPG11",0.00183256028883741,0.504184407371513,0.146,0.075,1
"DAXX",0.0018417623825163,0.458927298100841,0.135,0.065,1
"MIIP",0.00185548925486262,0.516176641673704,0.129,0.062,1
"NPM3",0.00186542704710093,0.502268499639362,0.129,0.062,1
"TPGS2",0.00187610484288208,0.293281708151785,0.211,0.119,1
"COPS5",0.00187889796131599,0.392006988505016,0.24,0.14,1
"LRCH3",0.00188414515852185,0.492153974505033,0.146,0.073,1
"CTSD",0.00189534034667714,-0.433381133219595,0.959,0.873,1
"TMEM140",0.00191459060540117,0.2791806834549,0.316,0.201,1
"TBL3",0.00192368066872348,0.552385769849674,0.105,0.046,1
"CDK4",0.0019322360185749,0.34727229457457,0.287,0.176,1
"MIF4GD",0.00193466480831374,0.379175621722745,0.14,0.069,1
"GLS",0.00194518341982486,-1.50227458481429,0.146,0.238,1
"EXOC7",0.00194612963320558,0.423194867793158,0.205,0.115,1
"CTDSPL2",0.00194914473492389,0.252339294767272,0.158,0.08,1
"DAG1",0.00195529414230244,0.498874755041516,0.117,0.054,1
"NUBP1",0.00195782859806309,0.353447198937162,0.146,0.074,1
"ARHGAP6",0.00196045512919902,0.480859129595709,0.105,0.046,1
"TMTC1",0.00196721033094045,0.527955615323089,0.105,0.046,1
"INTS10",0.00200364798956175,0.375966606010739,0.17,0.089,1
"UBE2F",0.0020345208182958,0.270829415831675,0.257,0.152,1
"PPP3CB",0.0020826921815402,0.383729578449526,0.158,0.083,1
"TXNL4A",0.00208696179287971,0.277528970773469,0.275,0.166,1
"ATP5EP2",0.00212115936495291,-1.77982122935445,0.117,0.206,1
"RAI14",0.0021253974931728,0.466726484647312,0.123,0.058,1
"RP4-575N6.4",0.00213598828768009,0.531611985299242,0.117,0.054,1
"VPS8",0.00213829861586744,0.449122401582165,0.111,0.05,1
"TBCD",0.00215132194591965,0.324322345832,0.129,0.062,1
"VPS26B",0.00222308233556631,0.318320546410656,0.123,0.058,1
"EBNA1BP2",0.00224734895247224,0.528078402095189,0.146,0.075,1
"TNS2",0.00225540655048666,0.327946826766164,0.304,0.19,1
"ADGRF5",0.00226790863108367,-0.683377605075662,0.602,0.594,1
"CDC5L",0.00229069527711621,0.309350178166726,0.234,0.135,1
"CTSZ",0.00229840833121453,0.359152297930204,0.263,0.159,1
"RNASE1",0.00229956831720075,-0.65807953695726,0.801,0.76,1
"DUS1L",0.00238169340982278,0.51276010348865,0.146,0.075,1
"WDR75",0.00238622780971615,0.428371162493277,0.129,0.062,1
"TOMM40",0.00239226957269116,0.410809813339832,0.135,0.066,1
"CLEC1A",0.00239827712580427,0.437718291329004,0.205,0.118,1
"FRA10AC1",0.00240753219517607,0.312683880873313,0.211,0.121,1
"SEC22A",0.0024655267396588,0.286769910673485,0.129,0.062,1
"IFRD2",0.00249399060195288,0.473741417197632,0.123,0.058,1
"PDLIM1",0.00250445242563662,-0.522315558139001,0.754,0.692,1
"BMS1",0.00250986720088945,0.322973902765651,0.14,0.071,1
"GFER",0.00254335659355015,0.720864062525365,0.146,0.077,1
"EFEMP2",0.00256758060813055,0.449756608490128,0.251,0.155,1
"ACER3",0.00260088802819213,-1.73785202098953,0.076,0.159,1
