category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,3/116,172/9500,0.01744186046511628,1.4284282277465918,0.6304083704442958,0.350801396027306,0.6684017731223586,0.5745397911922826,DNAJC1/STT3B/SEC24A,3
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,1/116,36/9500,0.027777777777777776,2.2749042145593865,0.8520505875839576,0.35796121364467137,0.6684017731223586,0.5745397911922826,ST6GALNAC3,1
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,2/116,103/9500,0.019417475728155338,1.5902243053230665,0.6695993563429806,0.35915820912527474,0.6684017731223586,0.5745397911922826,PLCB1/GNAQ,2
Metabolism,Global and overview maps,hsa01250,Biosynthesis of nucleotide sugars,1/116,37/9500,0.02702702702702703,2.213420316868593,0.822188964140434,0.36583066622468174,0.6684017731223586,0.5745397911922826,HK1,1
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,1/116,37/9500,0.02702702702702703,2.213420316868593,0.822188964140434,0.36583066622468174,0.6684017731223586,0.5745397911922826,CDH1,1
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,2/116,105/9500,0.01904761904761905,1.5599343185550083,0.6414418368611039,0.36797442754689225,0.6684017731223586,0.5745397911922826,CARD11/LYN,2
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,2/116,105/9500,0.01904761904761905,1.5599343185550083,0.6414418368611039,0.36797442754689225,0.6684017731223586,0.5745397911922826,KSR1/ITPR3,2
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,4/116,252/9500,0.015873015873015872,1.2999452654625068,0.5365278990540605,0.37031374757370694,0.6684017731223586,0.5745397911922826,BIN1/IL2RB/PDGFRA/SMURF1,4
Metabolism,Carbohydrate metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,1/116,38/9500,0.02631578947368421,2.1551724137931036,0.7932700805550246,0.3736044845400083,0.6684017731223586,0.5745397911922826,HK1,1
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,1/116,38/9500,0.02631578947368421,2.1551724137931036,0.7932700805550246,0.3736044845400083,0.6684017731223586,0.5745397911922826,JAK3,1
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,2/116,108/9500,0.018518518518518517,1.516602809706258,0.6002933586728385,0.38111083348140373,0.6716461151204008,0.5773285383935415,THOC1/TNPO1,2
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,1/116,39/9500,0.02564102564102564,2.0999115826702033,0.7652361826818513,0.3812838208107079,0.6716461151204008,0.5773285383935415,MTHFD1L,1
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,2/116,109/9500,0.01834862385321101,1.5026890224612466,0.5868548106058001,0.3854647318846788,0.6738276610808507,0.5792037353349533,JAK3/IL2RB,2
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,1/116,40/9500,0.025,2.0474137931034484,0.7380344852737761,0.38886981349498617,0.6746302067450897,0.5798935815276111,HK1,1
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,1/116,41/9500,0.024390243902439025,1.9974768713204374,0.7116166303820597,0.3963635874521302,0.6809279811409793,0.585306975285512,CDH1,1
